finding_id,severity,category,sheet,excel_row,code,field,current_value,related_codes
CAT-2025-0001,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,65,IP-1475,Description,A report on the training objectives achieved. The training objectives are analysed against the observations on the stated objectives. The level of achievement may be used during the exercise to replay part of the mel/mil or create new mel/mil to specifically trigger the TA on particalr objectives. At the end of the exercise the level of achievement will be part of the FIRs and FERs.Mission Essential Tasks that have been identified as â€œneeding more trainingâ€ may be considered as potential TOs for a following Exercise,
CAT-2025-0002,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,155,IP-1285,Description,"The Collateral Damage Estimation (CDE) provides the results of the proportionality test by which commanders determine whether the expected CD would, in total, be excessive in relation to the concrete and direct military advantage anticipated. To perform this test, commanders must be supported by a CDE process that predicts, within acceptable levels of accuracy, the expected levels of CD likely to be produced by the type of attack envisaged. Compliance with applicable legal obligations is a national issue.

A generic CDE process will usually employ some form of â€œtieringâ€ methodology, with increasing levels of CD risk at each tier. The level of risk will be described in a form (for example % risk of death or injury to civilians in the open, or to a building of a particular type) measurable by defined CDE tools that will be employed by designated, qualified, operators.",
CAT-2025-0003,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,181,IP-1314,Description,"The Concept of Operations (CONOPS) is developed in collaboration with the strategic and component levels, is the formal expression of the Commander's intent for the conduct of the campaign or operation, including the deployment, employment, and sustainment of forces; submitted with it are a number of â€˜illustrative' statements of requirements that outline the necessary operational requirements needed to realize the Commander's vision.",
CAT-2025-0004,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,315,IP-1212,Description,"These are â€œquick lookâ€ reviews provided by experiment leaders that include observations and recommendations appropriate to the design, structure and conduct of the exercise and the implications for the experimentation",
CAT-2025-0005,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,392,IP-1643,Description,"The Host Nation Support Concept of Requirements (HNS COR) provides the Host Nation with a clear idea of the scope and scale of the support required, building on the information presented in the HNS REQ. The HNS COR(s) should be viewed as key documents in a continued effort to clarify actual HNS requirements.

The Concept of Requirements identifies the broad functional support requirements for the mission. It is later developed to become the Host Nation Statement of Requirements (HNS SOR). It incorporates the already known HN support needs of Sending Nations (SN) and of NATO Units.

HNS COR may include the following Requirement Types (the list is not exhaustive):
â€¢ HN Equipment numbers: Vehicles; Tracks; Ships; Aircraft; others
â€¢ HN Operational Locations (APODs, SPODs, Operational Sites): Arrival Dates; Location; Personnel numbers; Equipment numbers
â€¢ HN Movement of Personnel
â€¢ HN Movement of Materiel
â€¢ HN Ammunition
â€¢ HN Intra-Staging Area Transportation
â€¢ HN Logistic Support: POL; Accommodation; Food; Telecommunications; Facilities etc.
â€¢ HN Medical Support
â€¢ HN Engineer Support",
CAT-2025-0006,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,430,IP-1321,Description,"The Information Technology Service Management (ITSM) Release Identification provides a naming convention used to uniquely identify a release. The release identification typically includes a reference to the configuration item and a version number â€“ for example, Microsoft Office 2010 SR2.",
CAT-2025-0007,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,443,IP-1264,Description,"The Information Technology Service Management (ITSM) Service Request provides a formal request from a user for something to be provided â€“ for example, a request for information or advice; to reset a password; or to install a workstation for a new user. Service requests are managed by the request fulfilment process, usually in conjunction with the service desk. Service requests may be linked to a request for change as part of fulfilling the request.",
CAT-2025-0008,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,496,IP-1671,Description,The intra-theatre supply plan allows the rapid generation of a wide variety of â€œwhat-ifâ€ scenarios through the use of scripted events,
CAT-2025-0009,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,642,IP-1677,Description,"The listing of modules catalogued by the nations. Per Module:
â€¢ Parent Nation
â€¢ Parent Service (within the Parent Nation)
â€¢ Parent Unit (within the Parent Service)
â€¢ Module Type
â€¢ Listing of Capabilities; per Capability (including: Listing of Skills)",
CAT-2025-0010,ERROR,BROKEN_CHARACTER_ENCODING,Information Products,643,IP-1351,Description,"The listing of the definitions of roles, module types, capability types and skill types as defined in NATO standards.
â€¢ Listing of Roles; per Role: Name
â€¢ Listing of Module Types; per Module Type: Parent Role(s); Name; Listing of Capability Types (incl",
