SourceCode,TargetCode,RelationType,Description
CP,CR,REALIZES,Capabilities are realized by Core Services (NAF NCV-2: Capability-to-Service mapping)
CP,CI,REALIZES,Capabilities are realized by COI Services (NAF NCV-2: domain-specific realization)
CP,CO,REALIZES,Capabilities are realized by Communications Services (NAF NCV-2: communication capabilities)
CR,BP,SUPPORTS,Core Services support Business Processes (TOGAF Business Architecture: service enablement)
CI,BP,SUPPORTS,COI Services support Business Processes (domain-specific process support)
CO,BP,SUPPORTS,Communications Services support Business Processes (communication infrastructure for processes)
CO,CR,SUPPORTS,Communications Services support Core Services (network/transport layer for services)
BP,IP,PRODUCES,Business Processes produce Information Products (TOGAF Data Architecture: process output)
BP,IP,CONSUMES,Business Processes consume Information Products (TOGAF Data Architecture: process input)
UA,CR,USES,User Applications use Core Services (NAF NSV-1: application-service binding)
UA,CI,USES,User Applications use COI Services (end-user access to COI services)
UA,CO,USES,User Applications use Communications Services (end-user communication binding)
CI,CP,FULFILLS,COI Services fulfill Capabilities (NAF NCV-5: service-to-capability assignment)
CR,CP,FULFILLS,Core Services fulfill Capabilities (NAF NCV-5: generic service fulfillment)
BR,BP,ASSIGNED_TO,Business Roles are assigned to Business Processes (TOGAF Org Mapping: role responsibility)
CR,CI,DEPENDS_ON,Core Services depend on COI Services (technical dependency: base services to domain)
CI,CR,DEPENDS_ON,COI Services depend on Core Services (technical dependency: domain to base services)
CO,CR,DEPENDS_ON,Communications Services depend on Core Services (network requires platform services)
UA,IP,CONSUMES,User Applications consume Information Products (end-user data visualization)
CO,CI,COMMUNICATES_WITH,Communications Services communicate with COI Services (NAF NSOV: communication compound)
CO,UA,COMMUNICATES_WITH,Communications Services communicate with User Applications (network binding of applications)
BP,CP,RELATED_TO,Business Processes are mapped to Capabilities (business-capability alignment)
BR,CP,RELATED_TO,Business Roles relate to Capabilities (role competencies to capabilities)
IP,CP,RELATED_TO,Information Products relate to Capabilities (information support of capabilities)
